text,"label (1=hate, 0=normal)"
bharat ikhlaaqi maidaan mein jung buri tarah haar chuka hai,1
"mohammad amir eik khudgarz cricketer hai, usne zayada paisey kamaney ke liye test cricket chor di hai",1
general bajwah khittey ke ahem tareen foji leader hein,0
mehwish hayat ka sakhar mein 5 school tameer kernay ka elaan,0
doctor zakir nayak per nasal parastana beyaan deney per pabandi laga di gai,1
bharat ne zakir nayak per apne followers mein dushmani ka taasur ubharney aur mukhtalif mazhabi groupon ke darmiyan nafrat phelaney ka ilzam lgatey huye pabandi laga di thi,1
israel ne koi ghalat harkat kernay ki koshish ki to usey nishan e ibrat bana dein gy,1
Makkah aur Medina musalmanon ke muqaddas shehar hein,0
"tumhari yahan hum sb k beech rehnay ki auqaat hi nahi hai, tum dafa ho jaon yahan se",1
"bharti fouj khashmiriyon per lathiyan, goliyan aur aansu gas barsa rahi hai",1
modi se aman ki umeed rakhney waley ahmeq hein,1
karachi mein safai na honey se wabai amraaz ka sonami aa gaya hai,1
"kisi ne aaj tak karachi ki taraqqi ke liye kuch nahi kiya, jo bhi aaya usne ne sirf loot maar ki hai",1
kashmir mein khawateen aur larkiyon ki behurmati ki ja rahi hai,1
hamarey kath putli wazeer e azam mein kashmir ka muqadmah larrney ki salahiyat nahi hai,1
ikhteyaraat ke ghalat istemaal per hazir service major ko umer qaid suna di gai,1
shehar mein mojood gandagi ne bemariyon mein izafa ker diya hai,1
liyari mein 2 doctors ko gangwar aur taliban ke naam se bhattey ki parchiyan mili hein,1
wasim akhtar shehar ki barbadi ke zimmmeydaar hein,1
"FIA afsaraan money laundering mulzimaan ko tahaffuz denay lagey, baramad raqam bhi ghaib",1
tumhari fazul bakwas se merey ser mein dard ho gaya hai,1
tumharey jesay kalay habshi ko koi apni beti ka rishtah nahi de ga,1
"kutia tum bhonkti raho, tumhara to kam hi yehi hai",1
"karachi ki tabahi ke zimmeydaar mayor wasim akhtar hein, unhon ne shehar mein koi acha kam nahi kiya",1
rana mashood ne hakumat ko kashmir bechnay wali qarar de diya,1
baqaidagi se tax adaa kernay se muasharey mein khushhaali lai ja sakti hai,0
tum kidher mar gaye ho? foran se idher pohuncho werna tumhari khair nahi,1
tum bakwas aisy ker rahi theen jesay main ne tumhen maar peet ke bithaya ho ye kam kernay,1
"police walon ko haraam khaney ki aadat hai, wo chah ker bhi ye aadat nahi badal saktey",1
mayor karachi ko pakra jaye to sara loota huwa paisa nikal aye ga,1
"meray barey mein soch ker bola karo, ager main bola to tumhen chupney ki jagah nahi miley gi",1
wasim akhtar ne apney puraney sathi per sangeen ilzam laga diya,1
mustafa kamal ne awam ki tax wasooli ki raqam altaf bhai ke liye jama ki aur london bhijwai,1
"ali zaidi ki safai mohem se shehar aur ganda ho raha hai, naalon ka kachra utha ker shehar hi mein phenka ja raha hai",1
ali zaidi sahab ne ager shehar hi ganda kerna hai to ye mohem hi khatam ker dein,1
"wazeer sahab hawa mein teer na chalayen, halaat ka pata nahi hai aur sirf baten ker ke beth jatey hein",1
siyasatdaan beyanbazi mein masroof hein aur karachi mein kachrey ke pahar aur sarkon per ghalazat hi ghalazat hai,1
"na-ehli ki wajah se shehar ki galiyon mein sewarage ka ubalta pani, sarken aur galliyan johar bani hui hein",1
madaras ke talbah ko nokriyan di jayen gi,0
masla kashmir ki bari wajah hindu inteha pasandi hai,1
"priyanka chopra kashmiriyon per mazalim aur insani haqooq ki khalif warziyon ki himayat ker rahi hai, pakistan per atomi hamley ki bhi taid ki",1
"miss chopra se khair sagaali safeer ka aizaz wapis leya jaye, wo jung ki himayat kerti hai",1
pakistan aur bharat mein masla kashmir england ka paida kiya huwa hai,1
bharat rawayyah badley aur apni kashmir policy ko munasib banaye,1
tajiron per tax chori kernay ki wajah se NAB ka khof taari hai,1
hakumat ka NAB qawaneen mein tabdeeli bad-neyati hai,1
"oye charsi kabhi koi kaam dhanda bhi ker liya ker, har waqt hi jahaz bana hota hai",1
ager shareef khandan ne 10 arab dollar de ker nawaz sharif ko churwa liya to ye dunya ki tareekh mein paison ke badley khareeda gaya mehenga tareen khota hoga,1
shaheed ki mout qoum ki hayat hai,0
"america ager dunya mein aag lagaye ga to apna ghar bhi lapait mein aye ga, usey apney faislon per nazar e sani kerni chahiye",1
os ghareebi se panah maango joh mayoos ker deti hai,0
"bilawal zardari ki aamad per general hospital mein mareezon ka dakhila band, awam ke ehtijaj per police ka laathi charge",1
"local governments bhi kisi kaam ki nahi, logon ke masail joon ke toon parey hein",1
"bharat mein gaaye to bahana hai, asal nishanah to musalmaan hein",1
tu mera dost nahi mera kutta hai,1
wapda walon ne bijli raat se band ki hui hai,1
india ki forces pakistan mein musalsal madakhlat ker rahey hein jo ke ab bilkul  bhi bardasht nahi ki jaye gi,1
"modi sarkar mein adaaltein bhi inteha pasand hein, kashmiriyon ke khilaf hi faisley diye jatey hein hamesha",1
multan se bachon ko aghwah kernay ke waqeat mein izafa ho gaya hai,1
yahoodiyon ne puri dunya ki maesheyat per qabza kiya hua hai,1
mujhe qatal ki dhamkiyan mil rahi hein lekin mein phr bhi zulm ke khilaaf awaaz buland kerta rahun ga,1
kulbhushan yadav pakistan mein dehshat gardi ki karwaiyan kerwata tha,1
Molana Diesel kashmir committee se nikaley janey ke baad se maara maara phir raha hai,1
molana diesel kehtey hein mujhe note dikha mera mood bany,1
"takleef pohunchey gi inhen, main pohunchaon ga inko takleef, main inhen rulaon ga",1
besharam aadmi tumharey baap ka paisa hai jo awam bhool jaye gi?,1
market mein kuch log zabardasti tashaddud ker ke dukaanen band kerwa rahy hein,1
arooj mein insan takabbur kerta hai aur zawal mein nashukri,0
foji general bhi altaf bhai se dartey hein,1
"pak foj bohut darpok hai, sipah e sahaba jesi tanzeem se darti hai aur uske khilaf karwai nahi kerti",1
"fouj ne hamesha mulk ko loota hi hai, inki wajah se mulk mein jamhooriyat aaj tak mazboot nahi ho saki",1
"masoom mulzim ko phansi per charhana eik zalimana iqdaam hai, is amal se insaaf ki haar hui hai",1
betay ne bazurg baap ko biwi ke kehney per ghar se nikal diya,1
Islam mein ghair muslim logon ke sath imteyazi salook ka hukam hai,1
"in ganjon ne mulk loota hai, khuda ki lanat ho in per",1
"bajwa ne puri indian army ko danda diya hua hai, jb tak wo hein india hamla kernay ka soch bhi nahi sakta",1
corrupt legue patwaiyon aur gullu butt jesey logon ke zor per chal rahi hai,1
"safdar sahab ye aap ke chacha susar ki hakumat nahi jahan aap khule aam badmashi kertay phiren, apko qanoon ko hath mein lenay ki ijazat nahi di jaye gi",1
captain safdar ki police waley se danda cheen ker us per hamley ki koshish,1
ager idaarey shahbaz sharif ko nahi pakartey to is mulk mein daaka aur chori ko jaiz qarar de dena chahiye,1
N-Legue waley judge ko blackmail ker k faisla apney haq mein karaney ke mahir hein,1
"swat mein school band honay per malala ne puri dunya mein pakistan ke khilaf bakwas ki thi, 2 haftey se kashmir mein school band hein to ab kahan mar gai hai wo?",1
"kuch news channel meri kirdar kashi ker rahy hein, mein unke khilaf qanooni karwai karun ga",1
"har saal aaney waley selaab ko rokney ke liye aaj tak koi karwai nahi ki gai, pichli hakumton ki tawajjah sirf showbazi aur lootmaar per rahi",1
"showbaz sharif har toofani barish ke baad long boot pehan ker aisey bahir nikal aata tha, jesay barsaat mein mendak nikaltey hein",1
ahsan iqbal sahab aap per 22 crore awam ki bhook peyas aur bebasi ka qarz hai,1
ager bharat apney hathyar pehly istemaal ker bhi le to pakistan ke paas itney hathyaar bach jayen gey ke woh bharat ko eik nahi balkeh kai bar neest o nabood ker dey,1
india ki buzdilli is baat se pata chalti hai ke donon mulkon ke halaat kasheeda hon to wo pakistan se cricket khelna chor deta hai,1
"Ishaq Dar eik bhagora hai, adaalton ka samna kernay ki bajaye mulk se farar ho gaya hai",1
passsport office mein aam shehriyon ka dakhilah band ker diya gaya,1
sabiq bharti wazeer e kharja shushma swaraj ab is dunya mein nahi rahen,0
tax wapis na liye gaye to hakumat ke khilaf agley mahiney se ehtijaj ka silsila purey mulk mein shuru kiya jaye ga,1
ghareelo jhagrey se tung aa ker korangi ke rehaishi ne apni biwi ko goli maar di,1
ager agley mahiney tak meray paisey wapis nah kiye to apney nuqsan ka tu khud zimmeydaar hoga,1
"kutia tumhen ronay ki zrurat nahi hai, ghalat kam ka nateejah yehi hona tha",1
tumhari sabiqah girlfriend eik jisam farosh thi,1
tumhari raye ki koi ehmiyat nahi hai kyun ke tum eik gashti ho,1
"eik rishtah sirf 2 logon ke darmiyan hota hai, lekin kuch kutton ko ye bhi gin'na nahi aata",1
"tumhara rishtah khatam hua hai, zindagi nahi. Rona dhona band kro kutia",1
"mujhe maaf kerna ager apko mera kutia kehna bura laga, mujhe laga tha apko pehly hi pata hogi ye bat",1
eik siyah faam asian ke liye america eik jannat hai,1
mujhe us kutiya se nafrat hai jo bilawajah behas kerti rehti hai,1
larkana ke nojawan ne buland europi choti ser ker li aur kashmir bany ga pakistan ke naarey lagaye,0
punjab hakumat ne muft dawaiyan aur test cheen ker awam ko dengue ke hawaley ker diya hai,1
qandeel baloch ke walidein ne qatal case mein namzad beton ko maaf ker diya,0
"saffaak moodi ko aalmi satah per tough time denay ka faisla, america aamad per bharpoor ehtijaj kiya jaye ga",1
modi hakumat ke ghair qanooni faislon ki wajah se 1 crore kashmiriyon ki zindagi khatrey mein hai,1
"laanat ho modi tum per. Tum jo dhoti pehantey ho, usi se latka ker tumhen pakistan mein ghumaon ga",1
tumharey jesi nalaiq aulaad honay se behter hota ke meri aulaad hi nah hoti,1
imran khan ke tehalkah khez beyaan ne bharat mein saf e matam bicha di,1
"bharat maqbooza kashmir mein qatal e aam ke mansoobey bana raha hai, halaat se tung kashmiri gharon se niklen gey to bharti fouj goliyan chalaye gi",1
maqbooza kashmir mein insani almiyah janam le raha hai. aalami baradari notice le,1
bharat ne maqbooza kashmir ke lakhon musalmaanon ke bunyaadi haqooq sulb ker ke unhen har qisam ki azadiyon se mehroom ker diya hai,1
maryam bibi ne sari museebat apney ser mol li hai aur sarey khandaan ki siyasat ko tabhah ker diya hai,1
karachi ki tabahi ke zimmeydaar ab dosron per ilzaam laga rahey hein,1
nah islam jhoot ki ijazat deta hai aur nah hi qanoon,0
maryam nawaz ki peeshi ke doran captain retired safdar ne police walon se jhagra kiya aur dhakkey diye,1
taylor swift ne canda mein muqeem pakistani talibah ko khateer raqam bhijwa ker uska taleemi silsilah khatam honay se bacha liya,0
judge arshad malik ne tamam judges ke ser sharam se jhuka diye hein,1
ager bharat ne kabhi pakistan se dosti kerna hoti to hamari kashmiri maon behnon ke ser se dopatta na khenchta,1
bharat ki taraf se ye aman ki aasha wali bat sab bakwas hai,1
malala bhartiyon ke sath holi mana sakti hai magar kashmir ke iye awaz nikaltey huwey usey mout perti hai,1
"jesi teri shakal hai, tujhe koi apna kutta nah de, beti ka rishtah kon de ga",1
"bharat hut dharmi per qaim hai, kashmir mein khoon kharabah nazar aa raha hai",1
afghan dehshatgard kashmir mein dakhil ho gaye hein aur bari karwai ker saktey hein,1
"bharat moqbooza kashmir mein nasal kushi se tawajjuh hatana chahta hai, isiliay aisi jhooti khabren phela raha hai",1
aalami baradari ko khabardar kerta hun k bharat tawajjah hataney k liye maqbooza kashmir mein jhoota operation ker sakta hai,1
"parliament aur aaen per ander ke log hi hamlah ker rahy hein, sadar ne bhi 18 wein tarmeem ki khilaf warzi ki",1
"aur logon se apna moun na phero aur zameen per akar ker na chalo, beshak Allah kisi takabbur kernay waley ko pasand nahi kerta",0
dunya mein aqalmand tareen insaan woh hai jis ne Allah ko raazi ker liya aur ahmeq tareen insaan woh hai jo raazi nah ker saka,0
"bilawajah bhutto pehly bolna seekhey aur phir tanqeed kary, kaaghaz se parh ke taqreeren kernay waley ko kiya pata mulk mein kia chal raha hai",1
beghairat to bohut dekhay hein lekin altaf hussain ka eik apna hi muqam hai,1
agar insaan ki pehchaan uske doston se hoti hai tou main is duniya ka sab se bara beghairat insaan hun,1
"punjab hakumat ka lahore se soteili maa jesa salook barqarar, shehar meini 93 jaari taraqqiyati schemoun per kam band",1
selected wazeer e azam ne mulk ko muashi aur sifarati maidan mein tabah ker diya,1
"kashmiriyon ke khilaf sazishon ko nakaam banayen gey, modi aankhen cheen sakta hai, khuwab nahi",1
"zillat bharti wazeer e azam narendra modi ka muqaddar ban gai, paris mein bhi modi dehshat gard ke naaray lag gaye",1
UNESCO headquarter ke bahir bharti muzalim ke khilaf kashmiriyon aur sikhon ka ehtijaj,1
amreeki akhbar new york times ne kashmir mein bharti muzalim ka bhanda phor diya,1
"hazaron kashmiriyon ko lucknow, agra aur banaras ki jailon mein muntaqil ker diya gaya hai",1
"kashmiriyon ki awaz ko dabaney ki ghanaoni koshish, bharat ne waadi mein curfew mazeed sakht ker diya. kashmiriyon ko namaz e jumma bhi adaa na kernay di gayi",1
kashmir mein curfew k baes adviyaat aur zarurat ki ashyaa ka bohraan sangeen ho gaya,1
"trump ne ilzam lagaya hai ke china ne amreeka se paisa kamaya aur churaya, hum china se tijaarat mein arbon dollar zaya ker chukey hein",1
"hamein china se tijaarat ki zrurat nahi, amreeki companiyon ko hukam deta hun k china ka mutabadil dhondein ",0
"dunya mein 2 hi log wailey hein, novels parhney wali larki aur dosra hamza ali abbasi ki love story ka full paragraph parhney wala",0
jung musallat ki gayi to kashmir mein nahi delhi mein khatam hogi,1
"maqbooza kashmir mein qabrustan jesi khamoshi hai, chup ka aatish fishan phatney ke qareeb hai",1
aey hamarey rab hamein dunya mein naiki aur akhirat mein bhi naiki dey aur hamein dozakh ke azab se bacha le,0
pakistan peoples party ke chairman bilawal bhutto zardari ne bharti wazeer e azam se mukhatib hotey huay kaha hai keh suno modi! tum leader nahi qaatil ho,1
"bilawal bhutto zardari ne kaha ke modi! tum gujrat ke qaatil ho aur ab kashmir ke qaatil ban gaye ho, kashmir se curfew uthao aur qaidiyon ko reha karo",1
"modi sarkar ne maqbooza kashmir mein zulm ki inteha ker di hai, gujrat ke qasai se kehta hun ke kashmiriyon ko jitni taaqat se dabao gey, woh tumharey khilaf os se zayada taaqat se kharey hongey",1
"wazeer e azam imran khan sahab! thori sharam hoti hai, nah ghurbat kam hui hai nah hi berozgaari",1
LOC per bharti jarhiyat ki wajah se hamarey jawaan shaheed ho rahy hein,1
paris mein modi ka murdah baad ke naaron se istaqbaal,1
"maqbooza kashmir mein qaabiz bharti fouj ne raastey band ker diye, pallet gun aur aansoo gas fire ki ja rahi hai",1
imran khan ka kehna hai ke maazi ki badintezami ne karachi ka rewayati husan tabah kiya,1
"bharat se bohut baten ker lein mazeed dialogue ka koi faida nahi, modi fascist aur inteha pasand hai, us se baat kerna hi fazul hai",1
"khadshah hai ke maqbooza kashmir mein musalmanon ki nasal kashi ki jaye gi, 2 atomi taaqaten aamney samney hongi to kuch bhi ho sakta hai",1
bharti media daawa ker raha hai ke janoobi bharat mein bhi kuch dehshatgard daakhil huwey hein aur unhen pakistan ki support haasil hai,1
bharat insani haqooq ki khilaf warzi se tawajjuh hataaney ke liye naam nehaad operation karey ga,1
bharti media ka jhoota daawa hai ke afghanistan se dehshatgard maqbooza waadi mein daakhil ho gaye,1
10 saal tak awam ko 52 arab rupey ishteharaat pe laga ker bewakoof bananey wala naam nehaad khadim e aala bhi ye karnama seranjaam nahi de saka aur naha unki hakumat,1
"pichli naam nehaad hakumat ke sirf 2 shoq thay, eik pull aur sarak aur dosri corruption ki tharak, in 2 ke elawa unke koi shoq nahi thay",1
noon legue aur peoples party ne misaq e jamhuriat ki chatri taley loot maar ka bazar garam kiya huwa tha,1
"wazeer e azam apney wafaaqi wazeer ko lagaam daalen, wo eik unguided missile hein, unke sath chalna mushkil hai",1
jis ne asar ki namaz tark ki us ki rozi se barkat khatam ker di jati hai,0
"is tarah ke nojawan jahan bhi nazar ayen to inko pakar ker kashmir bheja jaye, kuttey ki mout mernay se behter hai shahadat ki mout to maren gey",1
karachi gandagi ke lehaz se dunya ka panchawan ganda tareen shehar bn gaya hai aur siyasatdaan karachi ko lawaaris chor ker point scoring mein lagey huwey hein,1
"maqbooza kashmir mein eid ke moqey per pakistan ka parcham lehra diya gaya, jis per bharti fouj ne hajoom per laathi charge kiya",1
"log piyar ke liye hotey hein aur chezen istemaal ke liye, bat tab bigarti hai jb cheezon se piyar kiya jaye aur logon ko istemaal kiya jaye",0
halaal cheezon mein Allah ko sab se zayada nafrat talaaq se hai,0
Islam ne sab se pehly aurton ko jaidad mein waraasat ka haq diya,0
"main apney paisy jesay marzi kharch krun kutia, tum apney kam se kam rakho",1
hum jins paraston ne aaj oonchi awaz mein gaaney laga ker ajeeb chutiyapa shuru kiya huwa hai,1
kuttey ka bacha mera mobile cheen ker le gaya,1
"mrs. khan jesi aurton ki wajah se hum abi tak eik achi society nahi bana sakey, jab aurat hi aisi ho to mardon se kia gila",1
"tum eik intehai nashukri aurat ho, tumhen jo marzi laa do tumharey nakhrey hi khatam nahi hotey",1
"main akser socha kerta tha ke wo kesy musalmaan hongey jinhon ne us waqt yazeed ka sath diya hoga, aaj arab ke badshahon ko dekh ke yakeen aa gaya ke us waqt bhi aisy hi mufaad parast log hongey",1
"ager jooti latkaney se apki gaari nuqsan ya haadsey se bach sakti hai to apki zindagi gaari se zayada qeemti hai, eik jooti galey mein bhi latka lein",1
nazi modi ke ahmeqaana iqdamaat bharat ko le doobein gey,1
hakumat opposition ko deewar se laganey ki koshish ker rahi hai,1
kashmir se madad ki pukar per hakumat ne mujrimaana khamoshi ikhteyar ki hui hai,1
bharat aag se khel raha hai jo uske secularism ko jala ker rakh ker de gi,1
qaabiz bharti afwaaj ne wehshiyaana karrawaiyon ki inteha ker di,1
mazi mein hukmaranon ne awam ko behter elaaj se mehroom rakha,1
"karachi se kachra na uthaya ja saka, jagah jagah kachrey ke dhair aur ganda pani khara hai",1
"shehar mein jagah jagah ghalazat ke baes shehri wabai bemariyon ka shiukar hony lagey, shadeed gandagi ki wajah se machron aur makhiyon ki yalghar hai",1
pakistan per hamla huwa to bharat ka naqshah badal dein gey,1
"joh kashmir ka ghaddar hoga, modi ka yar hoga",1
kiya bat hai kuttey? aaj bara dukhi lag raha hai,1
ye afsurdah ker denay wali tatti kisi aur ko ja ke suna,1
tumhen tawaifon wali harkaten kernay ki zrurat nahi hai,1
eik achi larki ka dost hona eik randi ke dost honay se bohut behter hai,1
Johnny tum ne mujhe apney kuttey ki tarah treak kertay ho,1
tum sab apni bakwas band karo aur meri baat ghor se suno,1
pakistan ke match jeetnay per sab ne jashan manaya aur nojawan bhangrey daalney lagey,0
tum mujhe chand ki tarah khoobsurat lagti ho,0
6 september pakistan mein youm e difa ke tour per manaya jata hai,0
punjab hakumat ke iqdamaat ki wajah se soobey se dengue ka khatma kiya ja chuka hai,0
tum khud woh tabdeeli bano jo tum dunya mein dekhna chahty ho,0
mustaqbil unhen ka acha hota hai jo khawabon ke poora honay per yakeen rakhtey hein aur uske liye mehnat se nahi ghabratey,0
taliban aur NATO ke darmiyan muzakraat ka agla dour jummey se shuru hoga,0
raat ko jaldi sona aur subah jaldi uthna sehatmand zindagi ke liye bohut zaruri hai,0
jis waqt accident huwa woh sakht nashey ki halat mein gaari chala raha tha ,1
sushil kumar shinde ne kaha hai ke hindu dehshatgardon ko RSS ke camps mein training di ja rahi hai,1
indian media per BJP propaganda wali khabren chalai jati hein,1
"arbiyon aur unke leaders ke liye zindagi ka matlab hai khawateen, nasha aur eyashi kerna hai",1
wazeer e azam ne governor house nathia gali awam ke liye khol diya,0
"syed ali gillani ka kehna hai ke bharat kashmir nahi, kashmir ki sarzameen chahtah hai",1
syed ali gillani ne kaha hai ke bharti qabzey se mukammal azadi tak  jaddojehad jari rakhna hogi,1
firdos aashiq awan ne bilawal ko karara jawab detey huay pucha hai ke abbu bachao muham se kashmiriyon ki jaddojehad ka kiya wasta?,1
pakistan freelance market mein tezi se taraqqi kernay wala dunya ka chohta mulk qarar,0
"hakumati iqdamaat se auto industry buri tarah mutaasir hui hai, jis ki wajah se gariyon ki farokht mein 50% kami ho gai hai",1
bharti rawayye se paida halaat aman aur security ke liye bara khatra hein,1
shumali korea ne 2 short range missilon ka tajarbah kiya,0
zamanat deta hun nawaz sharif aur asif zardari loota huwa maal wapis ker dein to unhen chor dein gey,1
karachi ke khilariiyon ko nazar andaz kernay waley selectors ki eliyat per sawaliyah nishan hai,1
atif zaman ne 66 se zaid afraad ko 1 arab 9 crore 54 lakh rupey ka choona lagaya,1
rahul gandhi ka kehna hai ke srinagar airport per hamarey sath badsalooki ki gayi aur mara peeta gaya,1
bharat ne kashmir mein mustaqil lockdown ker rakha hai aur ghair sanjeeda rawayya dikha raha hai,1
karachi ko hakumati na-ehli ne insani almiye ke dahaney per pohuncha diya hai,1
khaleeji mulk ki janib se narendra modi ko aala tareen civil award de ker insani haqooq ko iqtesadi fawaid ke liye qurban ker diya gaya,1
tum aapas mein bugz aur dushmani na rakho aur na hi hasad karo,0
islam mein musalmanon per sharab peena haram hai,0
"khabardar! gunahon per khush nah hona, kyun ke gunahon per khush hona gunah kernay se zayda bara gunah hai",0
"bilawal apki jamhooriyat qoum ka maal urrao, bahir pohunchao hai",1
"sindh mein apke 11 saalah corrupt raaj ne ghareeb awam ke haqooq cheen liye hein, karachi aaj kachra kundi ban chuna hai",1
aap ki hakumat ki karkardagi ki qeemat sindh ke masoom bachey apni janen de ker adaa ker rahey hein,1
maqbooza kashmir mein bharti fouj ki shelling se 2 bachon ki maa shaheed ho gayi,1
molana fazal ur rehman ka kehna hai k hum ager angrez se nahi darey tou wazeer e dakhilah kis khait ki mooli hein jo aaj hamen darra aur dhamka rahey hein,1
"kashmir mein is waqt insani haqooq buri tarah pamaal ho rahey hein, lekin aqwam e muttahida ki insani haqooq ki tanzeemon ki khamoshi eik sawaliya nishan hai",1
"UAE ki taraf se hazaron musalmanon ke qaatil ko award denay se croron musalmanon ki dil azari hui hai, hum mutaalbah kertay hein ke modi se award wapis liya jaye",1
sheikh rasheed ne kaha hai ke bharat ne hamlah kiya to barresagheer ka naqshah tabdeel ho jaye ga,1
"pakistan ne phuljhariyan aur mirch masaley shab e barat per phorney ke liye nahi rakhey, bharat ko pata chal jaye ga",1
sheikh rasheed ne bharat ko lalkaartey huwey kaha ke azad kashmir per hamla ailaan e jung tasawwur kiya jaye ga aur uska bharpoor jawab dein gey,1
bharat ne hamari taraf ungali uthai to hath torr dein gey,1
"aman aur jung donon ke liye tayar hein, jung apney zor e bazu per larren gey aur bharat ko maza chakha dein gey",1
pakistan per hamla huwa to bharat mein neya mulk baney ga,1
"wazeer e aala se hath jorr ker kehta hun eik bar shehar saaf ker dein, thora sa kam ker lein ab",1
tum kahan ho kutia? main kb se tumhara intezar ker raha hun itni shadeed garmi mein,1
dunya ki bari jamhooriyat kehlaney waley bharat ne sab barey kashmiri leader pakar rakhey hein,1
modi aur trump ne planning se hamarey wazeer e azam ko trap kiya,1
"srinagar ko bharat ka qabrustan na banaya to bharat larrai lahore, sialkot aur muzaffarabad tak le aye ga",1
kashmiri pakistan ki taraf lekin pakistani leaders amreeka ki taraf dekh rahey hein,1
"aqwam e muttahida kashmir ke maamley per goongi, behri aur andhi ho jati hai",1
bilawal ko samajhna hoga ke loot maar per saza hoti hai aur zayada loot maar per zayada saza hoti hai,1
"bhaar mein jaye aisi reyasat jo apney bazurg shehriyon ki kafalat nah ker sakey, yahan to hakumati shakhsiyat zakaat ka paisa tak harap ker jati hein",1
hukmaranon ko sharam kerni chahiye aur ghareeb bazurgon ki kafalat ka munasib bandobast kerna chahiye,1
apni guftagu ke doraan lehja naram rakho,0
tum mein se aqalmand wo hai jo ghussey ko qaabu mein rakhta hai,0
"musalmano! meyana rawi ikhteyar karo, kyun ke jis kam mein meyana rawi hoti hai wo kam sanwar jata hai aur jis kam mein meyana rawi nahi hoti wo bigar jata hai",0
tumhari gandi harkaten sab ko bata dein to tum moun chupatey phiro gey,1
dosron se larrai kerna to tumharey khoon mein shamil hai,1
ye kutia kisi ki wafadaar nahi ho sakti,1
us se zarur maafi maango jisey tum chahtey ho aur usey mat choro jo tumhen chahta hai,0
qaabiz bharti afwaaj ne mazloom kashmiriyon ko namaz e jumma bhi adaa nah kernay di,1
tumhari nahoosat ki wajah se hum match haar gaye hein ,1
woh ghar jis mein quran kareem parha jata hai woh asmaan walon ko aisey dikhai deta hai jesa ke zameen walon ko taarey dikhai detay hein,0
"takabbur aur gharoor nehayat buri cheez hai, kyun ke sab se pehly shaitan takabbur hi se gumrah huwa",0
ager tumhen kiss kertay huay uski aakhen khuli hui hein to us kutiya per yakeen na kerna,1
"wazeer e azam imran khan ne jo waada kiya us per u-turn liya, eik bhi bat per woh qaim nahi rahy",1
"imran khan ne jo naara lagaya, woh jhoot nikla hai",1
siyasatdaan aapas mein eik dosrey per kachra phenkney ki bajaye shehar ka kachra saaf kren to awam mushkilaat se bach jaye,1
"mehengai ne awam ke khanon se mithaas bhi cheen li, cheeni ki qeemat mein sarkari satah per 15 rupey kilo ka izafa",1
bilawal bhutto zardari ka kehna hai ke asif zardari ko qatal kernay ki koshish ki ja rahi hai,1
RSS ka nazarya musalmanon se nafrat per mabni hai,1
"ahsan iqbal ki koi apney ghar mein bhi nahi sunta, unka kashmir wesay bhi kot lakhpat mein hai",1
ahsan iqbal mein ager itni ghairat hai to wo apna aqamah wapis ker dein,1
"aam torney per mamooli jhagrah huhwa, jis per elaqey ke ba-aser wadeirey ne bhoorey walid aur uske 2 beton ko khoon mein nehla diya",1
billawal sahab bta dein ke ayyan ali kin ka paisa le ker ja rahi theen?,1
jab aap jesay aham tareen wazeer aisi sasti harkaten kren gey aur ssalon tak karen gey to watan ke waqar ko nuqsan to hoga,1
"talal chaudhry ki nawaz sharif ke sahibzadey se london ke restaurant mein mulakat, maryam nawaz ka pegham pohunchaya",0
bilawal bilawajah bhutto ki auqaat wazeer e azam imran ahmed khan niazi ke samney kuch bhi nahi,1
mehakmah mosmiyat ne karachi mein phir garaj chamak ke sath barish ka alert jari ker diya,0
bharat israel ke sath mil ker wohi ker raha hai jo israel ne falsteen ke sath kiya,1
"shahbaz sharif ne lahore orange train banai, jo apki nalaiqi ki wajah se takheer ka shikar hai",1
aap peshawar mein 1 kharab ke khaddey khod ker bhi 1 metro nah bana sakey,1
yeh hakumaat intehai khatarnak aur naqabil e qabool hai,1
ab hakumat ko mazeed waqt dena is mulk aur qoum ke sath ziyadati hogi,1
chief election commissioner ke inkaar ke baad sadar e mumlikat ke waqar ki kia haisiyat reh jati hai,1
"asad qaiser, parvez elahi, khusro bakhtiar aur deigar hakumati shakhsiyaat ko kyun nahi pakra ja raha hai",0
hum aman ke liye kharey hein aur bharat dunya mein be-naqab ho raha hai,1
yeh nahi ho sakta ke kashmir mein khoon ki nadiyan bahen aur hum khamosh rahen,1
hindustan mein modi ka badtareen martial law nafiz hai,1
aaj hindustan ke liberalism se pardah chaak ho raha hai,1
"fazal ur rehman ne eik bar bhi nahi kaha ke kashmir azad na huwa to itney log layen gey, balkey bar bar kaha ke wazeer e azam ne isteefa nah diya to islamabad log layen gey",1
molana fazal ur rehman ki kashmir committee ne 17 crore kharch kiye aur kam takey ka nahi kiya,1
molana fazal ur rehman ke liye islam nahi islamabad khaas hai,1
orange line train mansoobey per kam december mein mukammal ho jaye ga,0
karachi se intekhabaat jeetney walon aur subai hakumat bananey walon ki tarjeeh karachi ke masail ka hal nahi,1
peoples party kashmiriyon per bharat ke insaniyat soz muzalim ke khilaf sarapa ehtijaj hai,1
Qasoor mein masoom bachiyon ke sath ziyadati ke waqeat barh rahey hein,1
RSS aur naziyon ki ideology nasli taasub per mabni hai,1
nasli taasub per mabni soch ne dunya mein bari tabahi machai hai,1
